Churn_Driver,Impact_Score
remainder__Total_Trans_Amt,0.16955051438922325
remainder__Total_Trans_Ct,0.1422485263425536
remainder__Total_Revolving_Bal,0.0946532331597947
remainder__Total_Ct_Chng_Q4_Q1,0.08885316153701155
remainder__Avg_Utilization_Ratio,0.06568704370546645
remainder__Total_Relationship_Count,0.06417334021930168
remainder__Total_Amt_Chng_Q4_Q1,0.056198231672989755
remainder__Credit_Limit,0.03481657423336937
remainder__Avg_Open_To_Buy,0.03314100808610534
remainder__Customer_Age,0.02915999702017453
remainder__Contacts_Count_12_mon,0.028110044838425628
remainder__Months_Inactive_12_mon,0.024647520750730297
remainder__Months_on_book,0.02249552892336889
cat__Activity_Level_Medium,0.013696763155108701
remainder__Dependent_count,0.013071691185433477
cat__Activity_Level_Low,0.012006599030381798
cat__Gender_M,0.009157629487776157
remainder__Transaction_Drop_Flag,0.0071658869257259835
cat__Age_Band_41-50,0.0071476074786738205
cat__Marital_Status_Married,0.006378417358779383
remainder__Spend_Drop_Flag,0.006360255876910092
cat__Marital_Status_Single,0.005223998605738328
cat__Utilisation_Segment_Low,0.004688431561858708
cat__Income_Category_Less than $40K,0.004174835970334005
cat__Tenure_Band_2-3 years,0.004154964751054185
cat__Education_Level_Graduate,0.003921344535668262
cat__Age_Band_31-40,0.003646260876896355
cat__Tenure_Band_3-4 years,0.0035805922242973407
cat__Utilisation_Segment_Medium,0.003471989424252298
cat__Age_Band_51-60,0.0034532498373588474
cat__Education_Level_High School,0.0034300195833497256
cat__Income_Category_$40K - $60K,0.0033630269679289894
cat__Education_Level_Unknown,0.003334099025171219
cat__Income_Category_$60K - $80K,0.0033287277188404144
cat__Income_Category_$80K - $120K,0.0033175891261116304
cat__Education_Level_Uneducated,0.003178871584399562
cat__Income_Category_Unknown,0.002536751924461691
cat__Marital_Status_Unknown,0.0024068596374801476
cat__Education_Level_Post-Graduate,0.002087367087754921
cat__Education_Level_Doctorate,0.001896536881330446
cat__Card_Category_Silver,0.0018311196709816988
cat__Tenure_Band_4+ years,0.0015744328855482597
cat__Age_Band_60+,0.0012456486615463258
cat__Card_Category_Gold,0.0010897612525783726
cat__Card_Category_Platinum,0.0003439448277537696
